threat_type,flee_status,armed_with,city,state,latitude,longitude,age,gender,race,was_mental_illness_related,body_camera,year,row_id,has_gun,has_knife,has_blunt_object,has_vehicle,has_replica,has_unarmed,has_other,race_std,share_white,share_black,share_native_american,share_asian,share_hispanic,share_two_or_more,share_missing
attack,foot,undetermined,mason county,KY,Unknown/Missing,Unknown/Missing,48.0,male,B,False,False,2021,1277,0,0,0,0,0,0,1,B,0,1,0,0,0,0,0
shoot,not,gun,lithia springs,GA,33.7870032,-84.620522,41.0,female,W,False,False,2021,1278,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,other,jacksonville,FL,30.1966527,-81.7428498,32.0,male,B,False,True,2021,1279,0,0,0,0,0,0,1,B,0,1,0,0,0,0,0
attack,not,vehicle,bristol,VA,36.5958179,-82.2106102,31.0,male,W,False,False,2021,1280,0,0,0,1,0,0,0,W,1,0,0,0,0,0,0
threat,other,gun,dekalb county,GA,33.7225153,-84.1188731,57.0,male,B,False,False,2021,1281,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
shoot,nan,gun,claremont,NH,43.3738861,-72.3529648,40.0,male,W,True,False,2021,1282,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,nan,gun,independence,MO,39.0999231,-94.4487294,35.0,male,W,False,False,2021,1283,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,knife,visalia,CA,36.3410412,-119.3007791,27.0,male,H,False,False,2021,1284,0,1,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,foot,gun,chicago,IL,41.9444244,-87.7570742,22.0,male,H,False,False,2021,1285,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
shoot,nan,gun,barstow,CA,Unknown/Missing,Unknown/Missing,60.0,male,W,False,False,2021,1286,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,foot,replica,lakewood,CO,39.6824606,-105.1164488,35.0,male,W,False,False,2021,1287,0,0,0,0,1,0,0,W,1,0,0,0,0,0,0
attack,not,knife,brighton,IL,39.0399304,-90.1415093,47.0,male,W,True,False,2021,1288,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,other,gun,rock island,IL,41.4795444,-90.5817208,25.0,male,B,False,False,2021,1289,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
point,foot,gun,fremont,CA,37.4820195,-121.9400227,36.0,male,B,False,True,2021,1290,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
point,not,gun,hurdle mills,NC,36.2905306,-79.0129986,58.0,male,W,False,False,2021,1292,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
threat,not,gun,salem,OR,44.902031,-123.046092,22.0,male,W,True,False,2021,1293,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
attack,not,knife;vehicle,washington,DC,38.8923272,-77.0068194,25.0,male,B,True,False,2021,1295,0,1,0,1,0,0,0,B,0,1,0,0,0,0,0
shoot,nan,gun,douglas county,CO,39.4515893,-104.8696056,23.0,male,W,False,True,2021,1296,1,0,0,0,0,0,0,W,1,0,0,0,0,0,0
move,not,undetermined,moreno valley,CA,33.887996,-117.2151104,40.0,male,H,False,False,2021,1297,0,0,0,0,0,0,1,H,0,0,0,0,1,0,0
point,foot,gun,phoenix,AZ,33.4946651,-112.2205809,26.0,male,H,False,False,2021,1298,1,0,0,0,0,0,0,H,0,0,0,0,1,0,0
threat,nan,knife,corvallis,OR,44.576491,-123.2601913,32.0,male,W,False,True,2021,1299,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
shoot,other,gun,birmingham,AL,33.5154536,-86.8409101,28.0,male,B,False,True,2021,1300,1,0,0,0,0,0,0,B,0,1,0,0,0,0,0
point,nan,gun,anadarko,OK,35.0811768,-98.2461875,25.0,male,N,False,True,2021,1301,1,0,0,0,0,0,0,N,0,0,1,0,0,0,0
flee,car,replica,honolulu,HI,21.2753757,-157.8249444,16.0,male,A,False,True,2021,1302,0,0,0,0,1,0,0,A,0,0,0,1,0,0,0
flee,car,undetermined,buena vista,NJ,39.49628,-74.9309083,41.0,male,W,False,False,2021,1303,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0
threat,nan,knife,oneonta,NY,42.445261,-75.0771884,23.0,male,W,False,False,2021,1304,0,1,0,0,0,0,0,W,1,0,0,0,0,0,0
